symbol,underlying
SBILIQETF,Nifty 1D Rate Index
SBIMIDMOM,Nifty Midcap 150 Momentum 50 Index
SBINEQWETF,Nifty50 Equal Weight
SBINMID150,Nifty Midcap 150 ETF
SBISILVER,SBI SILVER ETF
SBISMLETF,Nifty Smallcap 250 Index
SBIVALETF,Nifty200 Value 30 Index
SELECTIPO,BSE Select IPO Index
SENSEXADD,DSPS&PBSESensexETF
SENSEXAXIS,AXISS&PBSESENSEXETF
SENSEXBETA,SENSEX
SENSEXETF,MiraeAssetS&PBSESensexETF
SENSEXIETF,SENSEX
SETF10GILT,Nifty10yrBenchmarkG-SecIndex
SETFGOLD,Gold
SETFNIF50,Nifty50
SETFNIFBK,NiftyNext50
SETFNN50,NiftyBank
SHARIABEES,Shariah
SILVER,PhysicalpriceofSilver
SILVER1,KotakSilverETF
SILVER360,Commodity-Silver
SILVERADD,DSPSilverETF
SILVERAG,MiraeAssetSilverETF
SILVERAXIS,AxisSilverETF
SILVERBEES,NipponIndiaSilverETF
SILVERBETA,UTISilverExchangeTradedFund(UTISilverETF)
SILVERBND,Commodity - Silver
SILVERCASE,Commodity-Silver
SILVERIETF,DomesticPriceofSilver
SMALL250,Nifty Smallcap 250
SMALLADD,Nifty Smallcap 250 Index
SMALLCAP,MiraeAssetNiftySmallcap250MomentumQuality100ETF
SMALLGROWW,Nifty Smallcap 250 Momentum Quality 100 Index TRI
SMALLIETF,Nifty Smallcap 250 Index
SML100CASE,Nifty Smallcap 100 Index
SNXT30BEES,BSE Sensex Next 30 Index
SNXT50BETA,BSESensexNext50
TATAGOLD,TataGoldExchangeTradedFund
TATSILV,TataSilverExchangeTradedFund
TECH,NiftyITTRIIndex
TNIDETF,NiftyIndiaDigitalIndex
TOP100CASE,ZerodhaNifty100ETF
TOP10ADD,Nifty Top 10 Equal Weight Index
TOP15IETF,Nifty Top 15 Equal Weight Index
TOP20,Nifty Top 20 Equal Weight
TWCGOLDETF,Commodity
UNIONGOLD,Commodity Gold
VAL30IETF,Nifty200 Value 30 Index
VALUE,Nifty 500 Value 50
VALUEAXIS,Nifty500 Value 50 TRI
